**111年第1季 期初餘額(111年1月1日)**

* 普通股股本：7,738,228
* 預收股本：6,410
* 資本公積：8,388,886
* 法定盈餘公積：7,737,236
* 特別盈餘公積：831,850
* 未分配盈餘：13,705,710
* 國外營運機構財務報表換算之兌換差額：-1,575,937
* 按公允價值衡量之金融資產未實現損益：1,018,667
* 員工未賺得酬勞：0
* 歸屬於母公司權益總計：37,852,527
* 非控制權益：510,264
* 權益總額：38,362,791

**111年第1季 年度調整及分配**

* 本期合併總損益：2,572,215
* 本期其他綜合損益：482,058
* 本期綜合損益總額：3,054,273
* 普通股現金股利：-2,572,215
* 股份基礎給付-員工認股權：-4,180
* 股份基礎給付-員工認股權酬勞成本：8,326
* 採用權益法認列關聯企業及合資股權淨值之變動數：-6,195,710
* 實際取得或處分子公司股權價格與帳面價值差額：123,939
* 非控制權益變動數：83,146
* 對子公司所有權權益變動：52,904


**111年3月31日 期末餘額(111年3月31日)**

* 普通股股本：7,744,638
* 預收股本：13,736
* 資本公積：8,648,875
* 法定盈餘公積：7,737,236
* 特別盈餘公積：831,850
* 未分配盈餘：10,077,601
* 國外營運機構財務報表換算之兌換差額：-1,093,879
* 按公允價值衡量之金融資產未實現損益：1,284,024
* 員工未賺得酬勞：-11,392
* 歸屬於母公司權益總計：35,232,689
* 非控制權益：486,700
* 權益總額：35,719,389


**112年第1季 期初餘額(112年1月1日)**

* 普通股股本：7,778,434
* 預收股本：1,335
* 資本公積：9,110,280
* 法定盈餘公積：8,552,226
* 特別盈餘公積：555,794
* 未分配盈餘：17,750,074
* 國外營運機構財務報表換算之兌換差額：-714,961
* 按公允價值衡量之金融資產未實現損益：785,560
* 員工未賺得酬勞：-23,398
* 歸屬於母公司權益總計：43,814,702
* 非控制權益：469,312
* 權益總額：44,284,014

**112年第1季 年度調整及分配**

* 本期合併總損益：2,959,203
* 本期其他綜合損益：138,221
* 本期綜合損益總額：3,097,424
* 普通股現金股利：-2,959,203
* 股份基礎給付-員工認股權：-4,527
* 股份基礎給付-員工認股權酬勞成本：1,045
* 採用權益法認列關聯企業及合資股權淨值之變動數：-7,779,770
* 實際取得或處分子公司股權價格與帳面價值差額：37,542
* 非控制權益變動數：21,451
* 對子公司所有權權益變動：402

**112年3月31日 期末餘額(112年3月31日)**

* 普通股股本：7,779,769
* 預收股本：5,102
* 資本公積：9,256,521
* 法定盈餘公積：8,552,226
* 特別盈餘公積：555,794
* 未分配盈餘：12,929,507
* 國外營運機構財務報表換算之兌換差額：-738,359
* 按公允價值衡量之金融資產未實現損益：923,781
* 員工未賺得酬勞：-4,040
* 歸屬於母公司權益總計：39,260,301
* 非控制權益：475,755
* 權益總額：39,736,056
