**110年1月1日 期初餘額**
- 普通股股本：15,900,622
- 預收股本：2,133
- 資本公積：76,745,750
- 法定盈餘公積：44,583,025
- 未分配盈餘：173,052,205
- 國外營運機構財務報表換算之兌換差額：-8,710,844
- 按公允價值衡量之金融資產未實現評價(損)益：70,646,473
- 其他：-329,573
- 庫藏股票：-55,970


**110年度調整及分配**
- 盈餘指撥及分配：
    - 提列法定盈餘公積：5,634,195
    - 普通股現金股利：-5,634,195
- 資本公積配發現金股利：-33,398,284
- 110年前3季淨利：81,370,160
- 110年前3季其他綜合損益：-4,225,395
- 股份基礎給付交易：4,711,490
- 發放予子公司股利調整資本公積：4,332
- 採用權益法認列之關聯企業及合資之變動數：-1,221
- 實際取得或處分子公司股權價格與帳面價值差額：137,312
- 對子公司所有權權益變動：288,382
- 限制員工權利新股：1,205,601
- 其他資本公積變動：-162,502
- 處分按公允價值衡量之權益工具：693,638
- 非控制權益：-38,742


**110年9月30日 期末餘額**
- 普通股股本：15,987,603
- 預收股本：912
- 資本公積：59,813,535
- 法定盈餘公積：50,217,220
- 未分配盈餘：215,689,131
- 國外營運機構財務報表換算之兌換差額：-13,474,837
- 按公允價值衡量之金融資產未實現評價(損)益：75,041,466
- 其他：-6,138,355
- 庫藏股票：-55,970


**111年1月1日 期初餘額**
- 普通股股本：15,988,420
- 預收股本：483
- 資本公積：59,776,045
- 法定盈餘公積：50,217,220
- 未分配盈餘：222,911,507
- 國外營運機構財務報表換算之兌換差額：-12,936,239
- 按公允價值衡量之金融資產未實現評價(損)益：72,222,376
- 其他：-1,632,598
- 庫藏股票：-55,970


**111年度調整及分配**
- 盈餘指撥及分配：
    - 提列法定盈餘公積：11,841,278
    - 普通股現金股利：-11,841,278
- 資本公積配發現金股利：-91,147,046
- 111年前3季淨利：99,653,029
- 111年前3季其他綜合損益：30,107,915
- 股份基礎給付交易：-35,115,014
- 發放予子公司股利調整資本公積：1,067
- 採用權益法認列之關聯企業及合資之變動數：1,046
- 實際取得或處分子公司股權價格與帳面價值差額：32,051
- 對子公司所有權權益變動：568,977
- 限制員工權利新股：2,932,108
- 其他資本公積變動：8,637,434
- 處分按公允價值衡量之權益工具：-33,747
- 非控制權益：950,645


**111年9月30日 期末餘額**
- 普通股股本：15,993,096
- 預收股本：1,529
- 資本公積：47,307,992
- 法定盈餘公積：62,058,498
- 未分配盈餘：250,655,294
- 國外營運機構財務報表換算之兌換差額：16,633,078
- 按公允價值衡量之金融資產未實現評價(損)益：35,565,621
- 其他：-2,731,069
- 庫藏股票：-55,970
