## 現金流量表

**112年第1季**
- 營業活動之淨現金流入：$3,465,093
- 投資活動之淨現金流出：-$4,844,175
- 籌資活動之淨現金流出：-$2,967,049
- 匯率變動對現金及約當現金之影響：$111,776
- 本期現金及約當現金減少數：-$4,457,907
- 期初現金及約當現金餘額：$48,540,378
- 期末現金及約當現金餘額：$44,082,471

**111年第1季**
- 營業活動之淨現金流入：$5,386,162
- 投資活動之淨現金流出：-$3,395,771
- 籌資活動之淨現金流出：-$3,929,730
- 匯率變動對現金及約當現金之影響：$796,945
- 本期現金及約當現金減少數：-$1,142,394
- 期初現金及約當現金餘額：$45,648,486
- 期末現金及約當現金餘額：$44,506,092


## 現金及約當現金

**112年3月31日**
- 現金：
    - 庫存現金：$1,900,674
    - 支票存款及活期存款：$21,334,116
- 約當現金：
    - 定期存款：$64,303,147
    - 短期票券：$6,378,910
- 現金及約當現金總額：$93,916,847

**111年12月31日**
- 現金：
    - 庫存現金：$2,041,530
    - 支票存款及活期存款：$24,337,470
- 約當現金：
    - 定期存款：$64,137,378
    - 短期票券：$6,469,875
- 現金及約當現金總額：$96,986,253

**111年3月31日**
- 現金：
    - 庫存現金：$2,051,282
    - 支票存款及活期存款：$21,617,660
- 約當現金：
    - 定期存款：$51,952,770
    - 短期票券：$6,494,656
- 現金及約當現金總額：$82,116,368


## 按公允價值衡量之金融資產與負債

**資產**

**112年3月31日**
- 流動項目：
    - 強制按公允價值衡量之金融資產：
        - 結構型商品：$5,315,985
        - 受益憑證：$1,432,525
        - 上市櫃及興櫃公司股票：$466,130
        - 非上市、上櫃、興櫃股票：$488,330
        - 遠期外匯合約：$6,357
        - 股權連結商品：$137,025
    - 評價調整：$371,948
- 非流動項目：
    - 強制按公允價值衡量之金融資產：
        - 受益憑證：$4,279,628
        - 非上市、上櫃、興櫃股票：$1,395,884
        - 結構型商品：$1,354,498
    - 評價調整：$671,010

**111年12月31日**
- 流動項目：
    - 強制按公允價值衡量之金融資產：
        - 結構型商品：$4,451,630
        - 受益憑證：$1,591,545
        - 上市櫃及興櫃公司股票：$410,377
        - 非上市、上櫃、興櫃股票：$492,500
        - 遠期外匯合約：$1,964
        - 股權連結商品：$76,775
    - 評價調整：$124,405
- 非流動項目：
    - 強制按公允價值衡量之金融資產：
        - 受益憑證：$4,246,075
        - 非上市、上櫃、興櫃股票：$1,473,687
        - 結構型商品：$1,487,894
    - 評價調整：$738,927

**111年3月31日**
- 流動項目：
    - 強制按公允價值衡量之金融資產：
        - 結構型商品：$6,320,989
        - 受益憑證：$2,565,484
        - 上市櫃及興櫃公司股票：$377,980
        - 非上市、上櫃、興櫃股票：$459,063
        - 遠期外匯合約：$37,856
        - 股權連結商品：無
    - 評價調整：$83,376
- 非流動項目：
    - 強制按公允價值衡量之金融資產：
        - 受益憑證：$4,346,718
        - 非上市、上櫃、興櫃股票：$1,487,894
        - 結構型商品：$1,354,498
    - 評價調整：$921,707

**負債**

**112年3月31日**
- 流動項目：
    - 強制按公允價值衡量之金融負債：
        - 遠期外匯合約：$408

**111年12月31日**
- 流動項目：
    - 強制按公允價值衡量之金融負債：
        - 遠期外匯合約：$592

**111年3月31日**
- 流動項目：
    - 強制按公允價值衡量之金融負債：
        - 遠期外匯合約：$3,180


## 未適用避險會計之衍生金融資產與負債之交易及合約資訊

**112年3月31日**
- 流動項目：
    - 預購遠期外匯：名目本金 USD$20,465仟元，契約期間 111.12~112.9
    - 預售遠期外匯：名目本金 USD$5,440仟元，契約期間 112.1~112.6
    - 股權連結商品：名目本金 USD$4,500仟元，契約期間 112.2~112.7

**111年12月31日**
- 流動項目：
    - 預購遠期外匯：名目本金 USD$12,024仟元，契約期間 111.11~112.6
    - 預售遠期外匯：名目本金 USD$10,468仟元，契約期間 111.11~112.2
    - 股權連結商品：名目本金 USD$2,500仟元，契約期間 111.8~112.4

**111年3月31日**
- 流動項目：
    - 預購遠期外匯：名目本金 USD$49,927仟元，契約期間 110.11~111.9
    - 預售遠期外匯：名目本金 USD$13,890仟元，契約期間 111.1~111.6


## 按攤銷後成本衡量之金融資產

**112年3月31日**
- 流動項目：
    - 三個月以上之定期存款：$14,222,477
    - 可轉讓定存單：$1,065,750
    - 附買回票券：$34,607
    - 金融債券：無
- 非流動項目：
    - 一年以上之定期存款：$16,311,968
    - 金融債券：$2,104,235

**111年12月31日**
- 流動項目：
    - 三個月以上之定期存款：$15,396,767
    - 可轉讓定存單：$1,074,850
    - 附買回票券：$36,192
    - 金融債券：$307,100
- 非流動項目：
    - 一年以上之定期存款：$15,723,912
    - 金融債券：$2,118,250

**111年3月31日**
- 流動項目：
    - 三個月以上之定期存款：$9,282,429
    - 可轉讓定存單：$858,750
    - 附買回票券：$345,397
    - 金融債券：$4,439,331
- 非流動項目：
    - 一年以上之定期存款：$20,633,516
    - 金融債券：$285,277


## 應收票據及帳款淨額

**112年3月31日**
- 應收票據：$1,404,304
- 備抵損失：-$16,858
- 應收帳款：$17,580,002
- 備抵損失：-$346,903

**111年12月31日**
- 應收票據：$1,902,107
- 備抵損失：-$15,347
- 應收帳款：$19,006,463
- 備抵損失：-$346,968

**111年3月31日**
- 應收票據：$1,692,580
- 備抵損失：-$15,334
- 應收帳款：$17,557,170
- 備抵損失：-$397,878


## 應收票據及應收帳款帳齡分析

**112年3月31日**
- 應收票據：
    - 30天內：$359,105
    - 31-60天：$200,356
    - 61-90天：$295,982
    - 91-180天：$389,425
    - 181天以上：$159,436
- 應收帳款：
    - 30天內：$11,977,906
    - 31-60天：$3,404,245
    - 61-90天：$1,293,408
    - 91-180天：$601,725
    - 181天以上：$302,718

**111年12月31日**
- 應收票據：
    - 30天內：$495,982
    - 31-60天：$341,559
    - 61-90天：$267,878
    - 91-180天：$618,385
    - 181天以上：$178,303
- 應收帳款：
    - 30天內：$13,037,475
    - 31-60天：$3,650,911
    - 61-90天：$1,454,500
    - 91-180天：$534,095
    - 181天以上：$329,482

**111年3月31日**
- 應收票據：
    - 30天內：$567,485
    - 31-60天：$313,822
    - 61-90天：$218,914
    - 91-180天：$483,106
    - 181天以上：$109,253
- 應收帳款：
    - 30天內：$11,583,042
    - 31-60天：$3,323,054
    - 61-90天：$2,229,090
    - 91-180天：$534,635
    - 181天以上：$285,227


## 其他應收款

**112年3月31日**
- 其他應收款：$3,917,220
- 應收利息：$2,571,677
- 應收處分使用權資產款項：$1,761,235
- 應收處分不動產、廠房及設備款項：$819,270
- 備抵損失：-$37,858

**111年12月31日**
- 其他應收款：$3,621,978
- 應收利息：$2,127,599
- 應收處分使用權資產款項：$1,738,264
- 應收處分不動產、廠房及設備款項：$9,069,402
- 備抵損失：-$52,419

**111年3月31日**
- 其他應收款：$3,951,216
- 應收利息：$1,738,264
- 應收處分使用權資產款項：無
- 應收處分不動產、廠房及設備款項：無
- 備抵損失：-$37,586


## 存貨

**112年3月31日**
- 商品：$22,616,337
- 原料：$10,835,258
- 在途存貨：$1,475,837
- 物料：$2,270,817
- 在製品：$2,607,511
- 製成品：$8,031,516
- 副產品：$81
- 營建用地：$994,372
- 在建房屋：$640
- 待售房地：$56,315
- 待售運輸設備：$48,280,914
- 備抵存貨跌價損失：-$832,052

**111年12月31日**
- 商品：$23,879,139
- 原料：$11,807,839
- 在途存貨：$2,217,068
- 物料：$2,650,150
- 在製品：$2,812,400
- 製成品：$7,420,690
- 副產品：$1,674
- 營建用地：$986,383
- 在建房屋：$3,696
- 待售房地：$68,175
- 待售運輸設備：$53,914,826
- 備抵存貨跌價損失：-$982,427

**111年3月31日**
- 商品：$19,109,243
- 原料：$9,497,723
- 在途存貨：$1,578,038
- 物料：$2,301,565
- 在製品：$2,388,400
- 製成品：$7,420,690
- 副產品：$90
- 營建用地：$744,069
- 在建房屋：$3,696
- 待售房地：$40,172
- 待售運輸設備：$44,158,698
- 備抵存貨跌價損失：-$788,289


## 認列為費損之存貨成本

**112年第1季**
- 已出售存貨成本：$86,049,422
- 存貨跌價回升利益：-$147,800
- 存貨報廢損失：$512,232
- 存貨盤虧：$84,339
- 停工損失：$510,314
- 出售下腳及廢料收入：-$86,770
- 其他營業成本：$1,793,974

**111年第1季**
- 已出售存貨成本：$81,367,703
- 存貨跌價回升利益：-$86,962
- 存貨報廢損失：$86,770
- 存貨盤虧：$514,368
- 停工損失：$516,054
- 出售下腳及廢料收入：-$120,187
- 其他營業成本：$1,400,512


## 按公允價值衡量之金融資產-非流動

**112年3月31日**
- 權益工具：
    - 上市櫃公司股票：$3,109,763
    - 非上市、上櫃、興櫃股票：$1,140,622
