XX{現金及約當現金}為{$ 44,429,579}。YY{現金及約當現金}為{$ 21,927,038}。
XX{按公允價值衡量之金融資產-流動}為{$ 1,713,741}。YY{按公允價值衡量之金融資產-流動}為{$ 3,921,389}。
XX{按公允價值衡量之金融資產-流動}為{$ 89,544,208}。YY{按公允價值衡量之金融資產-流動}為{$ 118,958,629}。
XX{按攤銷後成本衡量之金融資產-流動}為{$ 70,505}。YY{按攤銷後成本衡量之金融資產-流動}為{$ 105,287}。
XX{應收票據淨額}為{$ 6,645,665}。YY{應收票據淨額}為{$ 10,417,038}。
XX{應收票據-關係人淨額}為{$ 11,062}。YY{應收票據-關係人淨額}為{$ 10,725}。
XX{應收帳款淨額}為{$ 17,715,186}。YY{應收帳款淨額}為{$ 20,334,557}。
XX{應收帳款-關係人淨額}為{$ 7,826,842}。YY{應收帳款-關係人淨額}為{$ 8,116,225}。
XX{其他應收款}為{$ 3,935,037}。YY{其他應收款}為{$ 3,235,755}。
XX{其他應收款-關係人}為{$ 3,781,127}。YY{其他應收款-關係人}為{$ 3,027,819}。
XX{存貨}為{$ 53,708,674}。YY{存貨}為{$ 45,780,447}。
XX{其他流動資產}為{$ 10,087,133}。YY{其他流動資產}為{$ 13,878,492}。
XX{流動資產合計}為{$ 239,468,759}。YY{流動資產合計}為{$ 249,713,401}。
XX{按公允價值衡量之金融資產-非流動}為{$ 60,865,103}。YY{按公允價值衡量之金融資產-非流動}為{$ 72,849,125}。
XX{按攤銷後成本衡量之金融資產-非流動}為{$ 46,210}。YY{按攤銷後成本衡量之金融資產-非流動}為{$ 1,500}。
XX{採用權益法之投資}為{$ 122,225,794}。YY{採用權益法之投資}為{$ 126,930,979}。
XX{不動產、廠房及設備}為{$ 142,595,649}。YY{不動產、廠房及設備}為{$ 127,654,017}。
XX{使用權資產}為{$ 1,711,259}。YY{使用權資產}為{$ 1,514,933}。
XX{無形資產}為{$ 5,856}。YY{無形資產}為{$ 5,992}。
XX{遞延所得稅資產}為{$ 1,313,633}。YY{遞延所得稅資產}為{$ 2,215,833}。
XX{其他非流動資產}為{$ 12,346,943}。YY{其他非流動資產}為{$ 11,710,542}。
XX{非流動資產合計}為{$ 341,110,447}。YY{非流動資產合計}為{$ 342,882,921}。
XX{資產總計}為{$ 580,579,206}。YY{資產總計}為{$ 592,596,322}。
XX{短期借款}為{$ 41,779,034}。YY{短期借款}為{$ 20,070,288}。
XX{應付短期票券}為{$ 27,433,572}。YY{應付短期票券}為{$ 14,598,048}。
XX{應付票據}為{$ 175,379}。YY{應付票據}為{$ 197,210}。
XX{應付帳款}為{$ 6,345,438}。YY{應付帳款}為{$ 7,652,890}。
XX{應付帳款-關係人}為{$ 14,786,891}。YY{應付帳款-關係人}為{$ 15,677,399}。
XX{其他應付款}為{$ 12,892,386}。YY{其他應付款}為{$ 8,964,765}。
XX{其他應付款項-關係人}為{$ 1,502,246}。YY{其他應付款項-關係人}為{$ 527,424}。
XX{本期所得稅負債}為{$ 1,276,288}。YY{本期所得稅負債}為{$ 5,551,893}。
XX{租賃負債-流動}為{$ 169,097}。YY{租賃負債-流動}為{$ 141,475}。
XX{一年或一營業週期內到期長期負債}為{$ 13,409,193}。YY{一年或一營業週期內到期長期負債}為{$ 4,550,000}。
XX{其他流動負債-其他}為{$ 4,683,149}。YY{其他流動負債-其他}為{$ 3,955,083}。
XX{流動負債合計}為{$ 124,452,673}。YY{流動負債合計}為{$ 81,886,475}。
XX{應付公司債}為{$ 40,650,000}。YY{應付公司債}為{$ 47,550,000}。
XX{長期借款}為{$ 18,894,498}。YY{長期借款}為{$ 15,562,973}。
XX{遞延所得稅負債}為{$ 377,618}。YY{遞延所得稅負債}為{$ 401,730}。
XX{租賃負債-非流動}為{$ 842,921}。YY{租賃負債-非流動}為{$ 696,577}。
XX{其他非流動負債}為{$ 5,240,353}。YY{其他非流動負債}為{$ 5,244,507}。
XX{非流動負債合計}為{$ 66,005,390}。YY{非流動負債合計}為{$ 69,455,787}。
XX{負債總計}為{$ 190,458,063}。YY{負債總計}為{$ 151,342,262}。
XX{普通股股本}為{$ 58,611,863}。YY{普通股股本}為{$ 58,611,863}。
XX{資本公積}為{$ 9,234,589}。YY{資本公積}為{$ 9,191,985}。
XX{法定盈餘公積}為{$ 70,224,189}。YY{法定盈餘公積}為{$ 66,313,982}。
XX{特別盈餘公積}為{$ 76,461,277}。YY{特別盈餘公積}為{$ 70,032,921}。
XX{未分配盈餘}為{$ 48,489,193}。YY{未分配盈餘}為{$ 69,162,306}。
XX{其他權益}為{$ 78,283,532}。YY{其他權益}為{$ 114,489,070}。
XX{庫藏股票}為{$-323,952}。YY{庫藏股票}為{$-323,952}。
XX{歸屬於母公司業主之權益合計}為{$ 340,980,691}。YY{歸屬於母公司業主之權益合計}為{$ 387,478,175}。
XX{非控制權益}為{$ 49,140,452}。YY{非控制權益}為{$ 53,775,885}。
XX{權益總計}為{$ 390,121,143}。YY{權益總計}為{$ 441,254,060}。
XX{負債及權益總計}為{$ 580,579,206}。YY{負債及權益總計}為{$ 592,596,322}。
