**111年第1季合併權益變動表 (新台幣仟元)**

**期初餘額(111年1月1日)**
- 普通股股本：138,629,906
- 資本公積：202,084,430
- 法定盈餘公積：170,755,591
- 特別盈餘公積：87,315,126
- 未分配盈餘：871,193,344
- 國外營運機構財務報表換算之兌換差額：-146,312,958
- 按公允價值衡量之金融資產未實現損益：56,641,420
- 避險工具之損益：165,645
- 庫藏股票：-15,194
- 非控制權益：192,802,808
- 合計：1,573,260,118

**年度調整及分配**
- 本期淨利：29,450,302
- 本期其他綜合損益：159,125
- 本期綜合損益總額：29,609,427
- 110年盈餘指撥及分派：
    - 現金股利：-9,606,321
    - 採用權益法認列之關聯企業及合資之變動數：-104,074
    - 認列對子公司所有權變動數：53,983,576
    - 非控制權益增加：83,593,003
    - 處分按公允價值衡量之權益工具：-72,087,551
    - 採用權益法認列之關聯企業及合資之變動數：1,295,773
    - 認列對子公司所有權變動數：-1,025,839
    - 非控制權益增加：52,582
    - 處分按公允價值衡量之權益工具：-627,644


**期末餘額(111年3月31日)**
- 普通股股本：138,629,906
- 資本公積：202,354,644
- 法定盈餘公積：170,755,591
- 特別盈餘公積：87,315,126
- 未分配盈餘：829,183,459
- 國外營運機構財務報表換算之兌換差額：-88,566,628
- 按公允價值衡量之金融資產未實現損益：46,407,455
- 避險工具之損益：61,571
- 庫藏股票：-15,194
- 非控制權益：198,962,156
- 合計：1,585,088,086


**112年第1季合併權益變動表 (新台幣仟元)**

**期初餘額(112年1月1日)**
- 普通股股本：138,629,906
- 資本公積：193,794,160
- 法定盈餘公積：184,894,008
- 特別盈餘公積：89,505,893
- 未分配盈餘：925,890,351
- 國外營運機構財務報表換算之兌換差額：-96,680,590
- 按公允價值衡量之金融資產未實現損益：14,526,382
- 避險工具之損益：12,824,695
- 庫藏股票：8,574,351
- 非控制權益：2,724,518
- 合計：1,450,544,916


**年度調整及分配**
- 本期淨利：12,824,695
- 本期其他綜合損益：8,574,351
- 本期綜合損益總額：2,724,518
- 111年盈餘指撥及分派：
    - 現金股利：-71,052
    - 採用權益法認列之關聯企業及合資之變動數：35,345
    - 認列對子公司所有權變動數：468,693
    - 處分採用權益法之投資：-187,288
    - 非控制權益增加：-73,473,850
    - 處分按公允價值衡量之權益工具：-586,828
    - 採用權益法認列之關聯企業及合資之變動數：395
    - 認列對子公司所有權變動數：-2
    - 非控制權益增加：827
    - 處分按公允價值衡量之權益工具：2
    - 處分按公允價值衡量之權益工具：-1,174,578


**期末餘額(112年3月31日)**
- 普通股股本：138,629,906
- 資本公積：194,110,910
- 法定盈餘公積：184,894,008
- 特別盈餘公積：89,505,893
- 未分配盈餘：865,829,339
- 國外營運機構財務報表換算之兌換差額：-88,105,412
- 按公允價值衡量之金融資產未實現損益：16,076,324
- 避險工具之損益：12,824,695
- 庫藏股票：774,654
- 非控制權益：13,599,349
- 合計：1,650,531,039
