(2) 融資額度

無擔保銀行借款
- 111年9月30日：
    - 額度：592,000
    - 已動用金額：59,123,016
    - 未動用金額：59,715,016
- 110年12月31日：
    - 額度：65,000
    - 已動用金額：61,620,489
    - 未動用金額：61,685,489
- 110年9月30日：
    - 額度：66,800
    - 已動用金額：57,176,845
    - 未動用金額：57,243,645

有擔保銀行借款
- 111年9月30日：
    - 額度：1,600,000
    - 已動用金額：-
    - 未動用金額：1,600,000
- 110年12月31日：
    - 額度：1,600,000
    - 已動用金額：-
    - 未動用金額：1,600,000
- 110年9月30日：
    - 額度：1,600,000
    - 已動用金額：-
    - 未動用金額：1,600,000


三七、關係人交易

中華電信公司為政府持有重大股份之公司，並以一般交易條件提供固定網路、行動通信、網際網路及加值通信暨其他通信服務予其他政府關係個體。除已於其他或本附註揭露者外，上述與其他政府關係個體交易之個別金額或彙總金額均不重大，故未揭露相關交易金額，惟其相關收入及成本均已入帳。

(一)關係人之名稱及關係
- 關係人名稱及關係：
    - 關聯企業：台灣國際標準電子股份有限公司、台灣碩網網路娛樂股份有限公司、願境網訊股份有限公司、勤崴國際科技股份有限公司、台灣港務國際物流股份有限公司、神準科技股份有限公司、恩睿科技股份有限公司、恩嘉科技股份有限公司、ST-2 Satellite Ventures Pte., Ltd.、CHT Infinity Singapore Pte. Ltd.、Viettel-CHT Co., Ltd.、域動行銷股份有限公司、中華網家一號股份有限公司、基石創新創業投資股份有限公司、將來商業銀行股份有限公司、緯謙科技股份有限公司、農譯科技股份有限公司、慧誠智醫股份有限公司、保華資安股份有限公司、中華東南亞控股股份有限公司
    - 其他關係人：財團法人中華電信基金會（受中華電信公司捐贈金額達該基金會實收基金總額三分之一以上）、財團法人神腦科技文教基金會（受子公司神腦國際捐贈金額達該基金會實收基金總額三分之一以上）、碩銓科技股份有限公司（對子公司中華碩銓有重大影響力）、全國電子股份有限公司（子公司神腦國際之實質關係人）、坤洲股份有限公司（子公司神腦國際之實質關係人）、正剛投資股份有限公司（子公司神腦國際之實質關係人）、正峯投資股份有限公司（子公司神腦國際之實質關係人）、全方位國際投資股份有限公司（子公司神腦國際之實質關係人）、華順投資股份有限公司（子公司神腦國際之實質關係人）、裕祐投資股份有限公司（子公司神腦國際之實質關係人）、神之雫興業股份有限公司（子公司神腦國際之實質關係人(註3)）、康歆企業股份有限公司（子公司神腦國際之實質關係人）、聯合報股份有限公司（對子公司智趣王有重大影響力）、深圳市世紀通訊有限公司（對子公司上海是泰有重大影響力）、研華股份有限公司（對子公司資拓宏宇國際有重大影響力）
    - 合資：中華東南亞控股股份有限公司
- 註1：群信行動數位科技公司已於110年8月清算完結，請參閱附註十四之說明。
- 註2：農譯科技公司及慧誠智醫公司原帳列透過其他綜合損益按公允價值衡量之金融資產，因本集團於110年7月及8月分別取得董事席次，因此對該公司具有重大影響，故將其轉列為關聯企業，請參閱附註十四之說明。
- 註3：神之雫興業公司因110年10月變更負責人，故自該時起非屬本集團之關係人。

(二)本集團間之交易、帳戶餘額、收益及費損於合併時全數予以銷除，故未揭露於本附註。本集團與關係人間之交易條件，除無同類交易可循，其交易條件係由雙方協商決定外，其餘交易條件與非關係人並無重大差異。本集團與其他關係人間之交易揭露如下：

1. 營業交易
    - 營業收入：
        - 111年7月1日至9月30日：
            - 關聯企業：135,613
            - 其他關係人：19,991
        - 110年7月1日至9月30日：
            - 關聯企業：284,584
            - 其他關係人：12,859
        - 111年1月1日至9月30日：
            - 關聯企業：286,029
            - 其他關係人：45,244
        - 110年1月1日至9月30日：
            - 關聯企業：425,942
            - 其他關係人：38,425
    - 營業成本及費用：
        - 111年7月1日至9月30日：
            - 關聯企業：450,864
            - 其他關係人：4,338
        - 110年7月1日至9月30日：
            - 關聯企業：204,133
            - 其他關係人：5,137
        - 111年1月1日至9月30日：
            - 關聯企業：829,737
            - 其他關係人：73,803
        - 110年1月1日至9月30日：
            - 關聯企業：451,646
            - 其他關係人：64,941

2. 非營業交易
    - 營業外收入及支出：
        - 111年7月1日至9月30日：
            - 關聯企業：9,367
            - 其他關係人：189
        - 110年7月1日至9月30日：
            - 關聯企業：9,641
            - 其他關係人：454
        - 111年1月1日至9月30日：
            - 關聯企業：27,683
            - 其他關係人：668
        - 110年1月1日至9月30日：
            - 關聯企業：28,582
            - 其他關係人：1,006

3. 資產負債表日之應收關係人款項餘額：
    - 111年9月30日：
        - 關聯企業：101,251
        - 其他關係人：5,865
    - 110年12月31日：
        - 關聯企業：34,864
        - 其他關係人：6,664
    - 110年9月30日：
        - 關聯企業：61,608
        - 其他關係人：4,753

4. 資產負債表日之應付關係人款項餘額：
    - 111年9月30日：
        - 關聯企業：472,689
        - 其他關係人：3,597
    - 110年12月31日：
        - 關聯企業：385,327
        - 其他關係人：6,031
    - 110年9月30日：
        - 關聯企業：481,865
        - 其他關係人：3,467

5. 資產負債表日之存入保證金屬關係人交易餘額：
    - 111年9月30日：
        - 關聯企業：34,167
        - 其他關係人：284
    - 110年12月31日：
        - 關聯企業：16,120
        - 其他關係人：-
    - 110年9月30日：
        - 關聯企業：13,823
        - 其他關係人：-

6. 本集團向關係人購買不動產、廠房及設備之交易金額：
    - 111年7月1日至9月30日：
        - 關聯企業：-
    - 110年7月1日至9月30日：
        - 關聯企業：-
    - 111年1月1日至9月30日：
        - 關聯企業：4,838
    - 110年1月1日至9月30日：
        - 關聯企業：84,732


7. 本集團向關係人購買無形資產之交易金額：
    - 111年7月1日至9月30日：
        - 關聯企業：-
    - 110年7月1日至9月30日：
        - 關聯企業：-
    - 111年1月1日至9月30日：
        - 關聯企業：-
    - 110年1月1日至9月30日：
        - 關聯企業：677

8. 本集團處分不動產、廠房及設備之交易金額：
    - 111年7月1日至9月30日：
        - 關聯企業：-
        - 處分(損)益：-
    - 110年7月1日至9月30日：
        - 關聯企業：-
        - 處分(損)益：-
    - 111年1月1日至9月30日：
        - 關聯企業：9,800
        - 處分(損)益：-
    - 110年1月1日至9月30日：
        - 關聯企業：-
        - 處分(損)益：1,628

9. 承租協議
中華電信公司於99年3月12日與新加坡 ST-2 Satellite Ventures Pte., Ltd.簽署 ST-2 衛星轉頻器租賃契約，約定自ST-2 衛星正式營運起 15 年為租賃期間，契約總價款約 6,000,000 仟元 (SGD260,723 仟元)，已於租賃開始日前支付租金 3,067,711 仟元，剩餘金額於 ST-2 衛星開始營運後按年支付。ST-2 衛星已於100年5月完成發射，並已於 100 年 8 月正式營運。ST-2 衛星因使用狀況良好，於 110 年經評估可延長耐用年限 3 年 3 個月，中華電信公司已於 110 年 12 月董事會同意依原租賃條件對應延長租賃期間，因此而取得使用權資產 1,124,780 仟元。

中華電信公司對 ST-2 Satellite Ventures Pte., Ltd.於資產負債表日之租賃負債餘額如下：
    - 111年9月30日：
        - 租賃負債-流動：188,130
        - 租賃負債-非流動：1,754,368
    - 110年12月31日：
        - 租賃負債-流動：173,306
        - 租賃負債-非流動：1,740,557
    - 110年9月30日：
        - 租賃負債-流動：172,976
