聯發科技股份有限公司及子公司合併財務報表附註(續)
(金額除另予註明外,均以新台幣仟元為單位)

六、重要會計項目之說明

1. 現金及約當現金

- 112年3月31日：
    - 庫存現金及零用金：1,169
    - 支票及活期存款：16,968,032
    - 定期存款：119,777,161
    - 約當現金-附買回票券：2,950,000
    - 合計：139,696,362

- 111年12月31日：
    - 庫存現金及零用金：1,122
    - 支票及活期存款：15,941,203
    - 定期存款：131,559,830
    - 約當現金-附買回票券：-
    - 合計：147,502,155

- 111年3月31日：
    - 庫存現金及零用金：1,132
    - 支票及活期存款：23,195,223
    - 定期存款：207,236,543
    - 約當現金-附買回票券：-
    - 合計：230,432,898

上述定期存款係包括十二個月內到期及可隨時轉換成定額現金且價值變動風險甚小之定期存款。

上述現金及約當現金未有提供質押或擔保之情事。


2. 透過損益按公允價值衡量之金融資產及金融負債

- 112年3月31日：
    - 強制透過損益按公允價值衡量之金融資產：
        - 基金：4,663,807
        - 組合式商品：525,163
        - 債券：147,160
        - 股票：-
        - 遠期外匯合約：65,955
        - 合計：5,402,085
    - 持有供交易之金融負債：
        - 遠期外匯合約：40,889

- 111年12月31日：
    - 強制透過損益按公允價值衡量之金融資產：
        - 基金：7,284,992
        - 組合式商品：987,899
        - 債券：146,981
        - 股票：46,631
        - 遠期外匯合約：75,354
        - 合計：8,541,857
    - 持有供交易之金融負債：
        - 遠期外匯合約：6,097

- 111年3月31日：
    - 強制透過損益按公允價值衡量之金融資產：
        - 基金：8,241,337
        - 組合式商品：2,071,258
        - 債券：20,019
        - 股票：17,727
        - 遠期外匯合約：216,873
        - 合計：10,567,214
    - 持有供交易之金融負債：
        - 遠期外匯合約：28,905
