**(三)國際會計準則理事會已發布但尚未經金管會認可之國際財務報導準則之影響**

下表彙列國際會計準則理事會已發布但尚未納入金管會認可之國際財務報導準則之新發布、修正及修訂之準則及解釋:

新發布/修正/修訂準則及解釋 | 國際會計準則理事會發布之生效日
---|---
國際財務報導準則第10號及國際會計準則第28號之修正「投資者與其關聯企業或合資間之資產出售或投入」 | 待國際會計準則理事會決定
國際財務報導準則第16號之修正「售後租回中之租賃負債」 | 112年1月1日
國際財務報導準則第17號「保險合約」 | 112年1月1日
國際財務報導準則第17號之修正「初次適用國際財務報導準則第17號及國際財務報導準則第9號—比較資訊」 | 112年1月1日
國際會計準則第1號之修正「負債之流動或非流動分類」 | 113年1月1日
國際會計準則第1號之修正「具合約條款之非流動負債」 | 113年1月1日

本集團經評估上述準則及解釋對本集團財務狀況與財務績效並無重大影響。

**四、重大會計政策之彙總說明**

重大會計政策除遵循聲明、編製基礎、合併基礎及新增部分說明如下,餘與111年度合併財務報表附註四相同。除另有說明外,此等政策在所有報導期間一致地適用。

**(一)遵循聲明**

1. 本合併財務報告係依據證券發行人財務報告編製準則與金管會認可並發布生效之國際會計準則第34號「期中財務報導」編製。
2. 本合併財務報告應併同111年度合併財務報告閱讀。

**(二)編製基礎**

1. 除下列重要項目外,本合併財務報告係按歷史成本編製:
    (1)透過損益按公允價值衡量之金融資產及負債(包括衍生工具)。
    (2)透過其他綜合損益按公允價值衡量之金融資產。
    (3)按退休基金資產減除確定福利義務現值之淨額認列之確定福利負債。
2. 編製符合金管會認可並發布生效之國際財務報導準則、國際會計準則、解釋及解釋公告(以下簡稱 IFRSs)之財務報告需要使用一些重要會計估計,在應用本集團的會計政策過程中亦需要管理階層運用其判斷,涉及高度判斷或複雜性之項目,或涉及合併財務報表之重大假設及估計之項目,請詳附註五說明。


**(三)合併基礎**

1. 合併財務報告編製原則
    (1)本集團將所有子公司納入合併財務報告編製之個體。子公司指受本集團控制之個體(包括結構型個體),當本集團暴露於來自對該個體之參與之變動報酬或對該等變動報酬享有權利,且透過對該個體之權力有能力影響該等報酬時,本集團即控制該個體。子公司自本集團取得控制之日起納入合併財務報表,於喪失控制之日起終止合併。
    (2)集團內公司間之交易、餘額及未實現損益業已銷除。子公司之會計政策與本集團採用之政策一致。
    (3)損益及其他綜合損益各組成部分歸屬於母公司業主及非控制權益;綜合損益總額亦歸屬於母公司業主及非控制權益,即使因而導致非控制權益發生虧損餘額。
    (4)對子公司持股之變動若未導致喪失控制(與非控制權益之交易),係作為權益交易處理,亦即視為與業主間進行之交易。非控制權益之調整金額與所支付或收取對價之公允價值間之差額係直接認列於權益。
    (5)當集團喪失對子公司之控制,對前子公司之剩餘投資係按公允價值重新衡量,並作為原始認列金融資產之公允價值或原始認列投資關聯企業或合資之成本,公允價值與帳面金額之差額認列為當期損益。對於先前認列於其他綜合損益與該子公司有關之所有金額,其會計處理與本集團若直接處分相關資產或負債之基礎相同,亦即如先前認列為其他綜合損益之利益或損失,於處分相關資產或負債時將被重分類為損益,則當喪失對子公司之控制時,將該利益或損失自權益重分類為損益。

2. 列入合併財務報告之子公司:

投資公司編號 | 名稱 | 子公司名稱 | 業務性質 | 112年3月31日合併所持股權百分比 | 111年12月31日合併所持股權百分比 | 111年3月31日合併所持股權百分比 | 說明
---|---|---|---|---|---|---|---
1 | 台達電子工業股份有限公司 | Delta International Holding Limited B. V.(DIH) | 投資事業 | 100.00 | 100.00 | 100.00 | 
2 | // | Delta Networks Holding Limited (DNH) | // | 100.00 | 100.00 | 100.00 | 
3 | // | Delta Electronics (Netherlands) B. V. (DEN) | 經營電源、視訊、零組件、機電等產品及材料之買賣 | 100.00 | 100.00 | 100.00 | 
4 | 台達電子工業股份有限公司 | 乾坤科技股份有限公司(乾坤) | 薄膜光電元件等之研究、開發、生產、製造與銷售 | 100.00 | 100.00 | 100.00 | 
5 | // | 達爾生技股份有限公司(達爾) | 醫療器材製造、批發與銷售 | 100.00 | 100.00 | 100.00 | (註1)(註2)
6 | // | 台達資本股份有限公司(台達資本) | 投資事業 | 100.00 | 100.00 | 100.00 | 
7 | // | Delta Electronics Int'l (Singapore) Pte. Ltd. (DEIL-SG) | 研發、經營及銷售電子產品 | 100.00 | 100.00 | 100.00 | 
8 | // | 展茂光電股份有限公司(展茂) | 租賃服務等 | - | - | 99.97 | (註11)
9 | 台達電子工業股份有限公司、DIH/台達電子工業股份有限公司、DEN | Delta America Ltd.(DAL) | 投資事業 | 100.00 | 100.00 | 100.00 | (註25)
10 | DEN | Delta Electronics (H. K.) Ltd. (DHK) | 投資事業及提供作業管理服務 | 100.00 | 100.00 | 100.00 | 
11 | DIH | DEI Logistics (USA) Corp. (ALI) | 提供海外發貨倉儲作業服務 | 100.00 | 100.00 | 100.00 | 
12 | // | Delta Electronics (Japan), Inc.(DEJ) | 經營電源、視訊、零組件、機電等產品及材料之買賣 | 100.00 | 100.00 | 100.00 | (註1)(註2)
13 | DEN | Drake Investment (HK) Limited (Drake-HK) | 投資事業 | 100.00 | 100.00 | 100.00 | 
14 | DGSG、Drake-HK、Boom | 中達電通股份有限公司(中達電通) | 經營不斷電式電源供應器等電子產品之銷售業務 | 95.91 | 95.91 | 95.91 | 
15 | DEN | Delta Greentech SGP Pte. Ltd. (DGSG) | 投資事業 | 100.00 | 100.00 | 100.00 | 
16 | DIH | Delta Electronics Europe Ltd. (DEU) | 維修中心及提供支援服務 | - | 100.00 | 100.00 | (註2)(註21)
17 | DEN | Boom Treasure Limited (Boom) | 投資事業 | - | 100.00 | 100.00 | (註21)
18 | DHK | 台達電子(東莞)有限公司(台達電子東莞) | 經營變壓器及散熱等電子產品之製造及銷售業務 | 100.00 | 100.00 | 100.00 | 
19 | DHK | 台達電子企業管理(上海)有限公司(台達企管) | 產品外觀設計之技術服務及管理諮詢及各類電子產品分銷等業務 | 100.00 | 100.00 | 100.00 | 
20 | // | 中達電子(江蘇)有限公司(中達江蘇) | 經營變壓器及電源供應器等電子產品之製造及銷售業務 | 100.00 | 100.00 | 100.00 | 
21 | // | 中達電子(蕪湖)有限公司(中達蕪湖) | 經營LED燈源及電源供應器等電子產品之製造及銷售業務 | 100.00 | 100.00 | 100.00 | 
22 | // | 台達電子(郴州)有限公司(台達電子郴州) | 經營變壓器等電子產品之製造及銷售業務 | 100.00 | 100.00 | 100.00 | 
23 | // | 華豐電子科技(蕪湖)有限公司(華豐蕪湖) | 技術服務、技術開發、技術諮詢、技術交流、技術轉讓、技術推廣;電子元器件製造;電子元器件批發;電子元器件零售;模具製造;模具銷售;鍛件及粉末冶金製品製造;鍛件及粉末冶金製品銷售、貨物進出口;技術進出口 | 100.00 | 100.00 | 100.00 | 
24 | DHK、DIH | Delta Electronics International Mexico S. A. DE C. V. (DEIL-MX) | 工業自動化產品及通訊設備用電源管理系統之銷售 | 100.00 | 100.00 | 100.00 | (註1)(註2)(註6)
25 | DHK | 達而泰(天津)實業有限公司(達而泰) | 經營電壓控制器等電子產品之製造及銷售業務 | 100.00 | 100.00 | 100.00 | (註1)(註2)
26 | // | 台達電子(平潭)有限公司(台達電子平潭) | 電子產品、節能設備批發銷售等 | 100.00 | 100.00 | 100.00 | (註1)(註2)
27 | DEJ | Addtron Technology (Japan), Inc. (AT Japan) | 電腦網路及週邊設備之買賣 | 100.00 | 100.00 | 100.00 | (註1)(註2)
28 | DEJ | Delta Electronics (Korea), Inc. (Delta Korea) | 經營電源、視訊、零組件、機電等產品及材料之買賣 | 100.00 | 100.00 | 100.00 | (註1)(註2)
29 | 台達電子郴州 | 郴州台達科技有限公司(郴州台達科技) | 經營變壓器等電子產品之製造及銷售業務 | 100.00 | 100.00 | 100.00 | 
30 | 台達企管、中達電通 | 上海中達能源科技有限公司(上海中達能源) | 能源管理、節能技術開發、節能設備及能源管理系統開發、諮詢服務及安裝銷售等 | - | - | 100.00 | (註2)(註12)
