**帳列項目 關係人類別**

- 112年7月1日至9月30日：
    - 勞務及其他/其他關係人：51,573
    - 營業收入及其他收入-其他/本公司為其主要管理階層：73,686
    - 其他/其他：3,182
    - 總計：128,441
- 111年7月1日至9月30日：
    - 勞務及其他/其他關係人：61,454
    - 營業收入及其他收入-其他/本公司為其主要管理階層：89,076
    - 其他/其他：1,857
    - 總計：152,387
- 112年1月1日至9月30日：
    - 勞務及其他/其他關係人：214,785
    - 營業收入及其他收入-其他/本公司為其主要管理階層：157,125
    - 其他/其他：8,451
    - 總計：380,361
- 111年1月1日至9月30日：
    - 勞務及其他/其他關係人：287,660
    - 營業收入及其他收入-其他/本公司為其主要管理階層：268,640
    - 其他/其他：9,283
    - 總計：565,583


**(七)為他人背書保證**

- 112年9月30日：
    - 本公司為其主要管理階層/保證金額：1,280,922
    - 本公司為其主要管理階層/實際動支金額：595,622
- 111年12月31日：
    - 本公司為其主要管理階層/保證金額：1,263,979
    - 本公司為其主要管理階層/實際動支金額：660,654
- 111年9月30日：
    - 本公司為其主要管理階層/保證金額：1,152,626
    - 本公司為其主要管理階層/實際動支金額：281,008


**(八)對主要管理階層之獎酬**

- 112年7月1日至9月30日：
    - 短期員工福利：6,866
    - 退職後福利：377
    - 總計：7,243
- 111年7月1日至9月30日：
    - 短期員工福利：-171
    - 退職後福利：294
    - 總計：123
- 112年1月1日至9月30日：
    - 短期員工福利：38,179
    - 退職後福利：1,104
    - 總計：39,283
- 111年1月1日至9月30日：
    - 短期員工福利：80,127
    - 退職後福利：881
    - 總計：81,008


**三十一、質抵押之資產**

- 112年9月30日：
    - 不動產、廠房及設備淨額：18,758,590
    - 股票：17,889,818
    - 定期存款：7,076,466
    - 質押應收款(註)：2,000,000
    - 投資性不動產淨額：1,005,056
    - 活期存款：300,000
- 111年12月31日：
    - 不動產、廠房及設備淨額：20,170,727
    - 股票：16,544,895
    - 定期存款：7,343,842
    - 質押應收款(註)：2,000,000
    - 投資性不動產淨額：1,037,486
    - 活期存款：300,000
- 111年9月30日：
    - 不動產、廠房及設備淨額：18,878,033
    - 股票：15,936,291
    - 定期存款：7,731,342
    - 質押應收款(註)：2,000,000
    - 投資性不動產淨額：1,018,255
    - 活期存款：392,424
- 使用權資產- 土地淨額：
    - 112年9月30日：144,185
    - 111年12月31日：145,824
    - 111年9月30日：150,541
    - 總計：
        - 112年9月30日：47,174,115
        - 111年12月31日：47,542,774
        - 111年9月30日：46,106,886


**三十二、重大或有負債及未認列之合約承諾**


(一)為承包工程之履約、租用及付款所需，由金融機構提供保證金額合計約76億元，及為進貨、履約及保固而提供保證票據予業主之金額約37億元。

(二)為購入原物料及機器設備等已開立未使用之信用狀餘額約 116 億元。

(三)已簽訂之不動產、廠房及設備採購及建造合約金額約 399 億元尚未列帳。

(四)與澳洲、巴西、加拿大、大陸、日本、菲律賓、越南、印尼及國內等地之主要原料供應商簽訂1年至5年之長短期原料採購合約，每年度採購煤礦約1,025 萬噸、鐵礦約 2,268 萬噸及石灰石約 313萬噸,其價格由雙方議定之。截至 112 年9月30日止，尚未履約部分合計約美金57億元(煤礦約 601 萬噸、鐵礦約 3,783 萬噸及石灰石約 155 萬噸)。

(五)背書保證餘額詳附表二。


**三十三、具重大影響之外幣資產及負債之資訊**

以下資訊係按本公司及子公司各個體功能性貨幣以外之外幣彙總表達，所揭露之匯率係指該等外幣換算至功能性貨幣之匯率。具重大影響之外幣資產及負債如下: (未提供具體數據)
