9. 被投資公司名稱、所在地區....等相關資訊(不包含大陸被投資公司):附表五。

10. 從事衍生工具交易:參閱附註七、二十及三六。

(三) 大陸投資資訊:附表六。

(四)母子公司間及各子公司間業務關係及重要交易往來情形及金額:附表七。

(五)主要股東資訊:附表八。

四二、部門資訊

本集團為因應經營環境變化及業務挑戰進行組織調整，並配合新組織架構制定營運決策及評估績效。前述組織調整自111年1月1日起生效，本集團重新定義應報導部門為:個人家庭、企業客戶、國際電信及其他部門。各部門係服務不同客群之策略事業單位，並分別予以管理。各類部門資訊會定期提供予本集團總執行長，用以分配資源及評量部門績效。本集團主要係以收入及稅前淨利作為部門績效之評估基礎。

本集團考量以下因素後將部份營運部門彙總為一營運部門:(1)相似產品及勞務之客戶類型或類別;(2)相似之產品及勞務性質;及(3)相似之勞務提供方法。

本集團各營運部門之會計政策與附註三所述之重大會計政策相同。


部門收入與營運結果

本集團繼續營業單位之收入與營運結果依應報導部門分析如下:

112年7月1日至9月30日
- 收入
  - 來自外部客戶收入：
    - 個人家庭：33,737,840
    - 企業客戶：16,616,893
    - 國際電信：2,337,773
    - 其他：965,440
    - 總計：53,657,946
  - 部門間收入：
    - 個人家庭：612,561
    - 企業客戶：322,646
    - 國際電信：101,607
    - 其他：271,376
    - 總計：1,308,190
  - 部門收入：
    - 個人家庭：34,350,401
    - 企業客戶：16,939,539
    - 國際電信：2,439,380
    - 其他：1,236,816
    - 總計：54,966,136
  - 內部沖銷：-1,308,190
  - 合併收入：53,657,946
- 部門稅前淨利：
    - 個人家庭：7,247,401
    - 企業客戶：3,434,184
    - 國際電信：544,099
    - 其他：411,797
    - 總計：11,637,481

112年1月1日至9月30日
- 收入
  - 來自外部客戶收入：
    - 個人家庭：100,552,394
    - 企業客戶：51,264,214
    - 國際電信：6,633,864
    - 其他：2,882,030
    - 總計：161,332,502
  - 部門間收入：
    - 個人家庭：1,819,088
    - 企業客戶：810,376
    - 國際電信：731,338
    - 其他：284,312
    - 總計：3,645,114
  - 部門收入：
    - 個人家庭：102,371,482
    - 企業客戶：52,074,590
    - 國際電信：7,365,202
    - 其他：3,166,342
    - 總計：164,977,616
  - 內部沖銷：-3,645,114
  - 合併收入：161,332,502
- 部門稅前淨利：
    - 個人家庭：22,570,396
    - 企業客戶：10,868,406
    - 國際電信：1,607,979
    - 其他：1,510,353
    - 總計：36,557,134

111年7月1日至9月30日
- 收入
  - 來自外部客戶收入：
    - 個人家庭：32,834,085
    - 企業客戶：17,385,725
    - 國際電信：1,801,094
    - 其他：1,486,907
    - 總計：53,507,811
  - 部門間收入：
    - 個人家庭：544,663
    - 企業客戶：181,493
    - 國際電信：87,792
    - 其他：240,377
    - 總計：1,054,325
  - 部門收入：
    - 個人家庭：33,378,748
    - 企業客戶：17,567,218
    - 國際電信：1,888,886
    - 其他：1,727,284
    - 總計：54,562,136
  - 內部沖銷：-1,054,325
  - 合併收入：53,507,811
- 部門稅前淨利：
    - 個人家庭：7,385,590
    - 企業客戶：3,889,978
    - 國際電信：564,560
    - 其他：366,127
    - 總計：12,206,255

111年1月1日至9月30日
- 收入
  - 來自外部客戶收入：
    - 個人家庭：97,074,198
    - 企業客戶：50,949,153
    - 國際電信：5,273,664
    - 其他：3,941,245
    - 總計：157,238,260
  - 部門間收入：
    - 個人家庭：1,469,839
    - 企業客戶：618,077
    - 國際電信：615,351
    - 其他：254,847
    - 總計：2,958,114
  - 部門收入：
    - 個人家庭：98,544,037
    - 企業客戶：51,567,230
    - 國際電信：5,889,015
    - 其他：4,196,092
    - 總計：160,196,374
  - 內部沖銷：-2,958,114
  - 合併收入：157,238,260
- 部門稅前淨利：
    - 個人家庭：21,722,915
    - 企業客戶：11,645,050
    - 國際電信：1,627,634
    - 其他：1,387,947
    - 總計：36,383,546

主要產品及勞務之收入

- 112年7月1日至9月30日：
    - 個人家庭：
        - 行動服務：13,934,444
        - 固網服務：10,652,262
    - 企業客戶：
        - 固網服務：8,492,662
        - 資通訊業務：4,924,918
        - 行動服務：2,289,641
        - 其他：909,672
    - 國際電信：
        - 固網服務：1,294,655
        - 資通訊業務：733,167
        - 其他：309,951
    - 其他：
        - 銷貨收入：743,065
        - 其他：222,375
- 111年7月1日至9月30日：
    - 個人家庭：
        - 行動服務：13,048,474
        - 固網服務：10,730,125
    - 企業客戶：
        - 固網服務：8,705,661
        - 資通訊業務：5,254,336
        - 行動服務：2,223,347
        - 其他：1,202,381
    - 國際電信：
        - 固網服務：1,224,153
        - 資通訊業務：363,894
        - 其他：213,047
    - 其他：
        - 銷貨收入：1,278,138
        - 其他：208,769
- 112年1月1日至9月30日：
    - 個人家庭：
        - 行動服務：41,122,870
        - 固網服務：31,894,985
        - 銷貨收入：25,782,712
        - 其他：1,751,827
    - 企業客戶：
        - 固網服務：25,439,643
        - 資通訊業務：15,566,348
        - 行動服務：6,782,391
        - 其他：3,475,832
    - 國際電信：
        - 固網服務：3,996,547
        - 資通訊業務：1,843,133
        - 其他：794,184
    - 其他：
        - 銷貨收入：2,225,042
        - 其他：656,988
- 111年1月1日至9月30日：
    - 個人家庭：
        - 行動服務：38,511,014
        - 固網服務：32,056,360
        - 銷貨收入：24,785,402
        - 其他：1,721,422
    - 企業客戶：
        - 固網服務：25,866,237
        - 資通訊業務：15,322,689
        - 行動服務：6,675,099
        - 其他：3,085,128
    - 國際電信：
        - 固網服務：3,709,200
        - 資通訊業務：1,111,653
        - 其他：452,811
    - 其他：
        - 銷貨收入：3,364,893
        - 其他：576,352


