檔名,名稱
1,全球人壽豪威六六利率變動型終身壽險(定額給付)
2,全球人壽代代緻富利率變動型終身壽險(定額給付)
3,凱基人壽享利開鑫利率變動型終身保險(定期給付)_BPLTPL
4,南山人壽新多福保美元利率變動型終身保險(定期給付)_BUPL5G
5,南山人壽添多利利率變動型增額終身保險(定期給付)_2BTL
6,凱基人壽好基利美元利率變動型終身壽險(定期給付)_APMEPL
7,南山人壽年年滿利利率變動型還本終身保險(定期給付)_2BTE2
8,南山人壽添保倍美元利率變動型終身壽險(定期給付)_BYUPL8
9,全球人壽鑫美富足利率變動型美元增額終身壽險(定額給付)
10,南山人壽新福愛小額終身壽險_MPL3
11,全球人壽鑫美富足利率變動型美元增額終身壽險(定額給付)
12,安達人壽美美優美元利率變動型終身壽險
13,凱基人壽天天有利利率變動型終身壽險(定期給付)_APKQTL
14,南山人壽威美鑽美元利率變動型終身壽險(定期給付)_SYUL
15,凱基人壽好基利美元利率變動型終身壽險(定期給付)_APMEPL
16,全球人壽豪神六六利率變動型美元終身壽險(定額給付)
17,凱基人壽基業長鴻美元利率變動型終身壽險(定期給付)_APMOPL
18,凱基人壽澳氣十足澳幣利率變動型養老保險(定期給付)_APMKPL
19,全球人壽鑫美富足利率變動型美元增額終身壽險(定額給付)
20,南山人壽佳多保利率變動型終身保險(定期給付)_BTPL
21,南山人壽年年滿利利率變動型還本終身保險(定期給付)_2BTE2
22,南山人壽豐盈滿山美元利率變動型終身壽險(定期給付)_BYUPL6
23,南山人壽添保倍美元利率變動型終身壽險(定期給付)_BYUPL8
24,全球人壽豪威六六利率變動型終身壽險(定額給付)
25,南山人壽添保倍美元利率變動型終身壽險(定期給付)_BYUPL8
26,凱基人壽全民小額終身壽險_EHJIPL
27,凱基人壽十全十美美元利率變動型養老保險(定期給付)_APMIPL
28,南山人壽添保倍美元利率變動型終身壽險(定期給付)_BYUPL8
29,南山人壽樂活洋溢醫療終身保險_TPHI5
30,全球人壽代代緻富利率變動型終身壽險(定額給付)
31,全球人壽代代緻富利率變動型終身壽險(定額給付)
32,南山人壽新福愛小額終身壽險_MPL3
33,全球人壽代代緻富利率變動型終身壽險(定額給付)
34,南山人壽豐盈滿山美元利率變動型終身壽險(定期給付)_BYUPL6
35,南山人壽豐盈保倍美元利率變動型終身壽險(定期給付)_BYUPL7
36,南山人壽新多福保美元利率變動型終身保險(定期給付)_BUPL5G
37,南山人壽添保倍美元利率變動型終身壽險(定期給付)_BYUPL8
38,凱基人壽大基大利美元利率變動型終身壽險(定期給付)_APMLPL
39,凱基人壽澳氣十足澳幣利率變動型養老保險(定期給付)_APMKPL
40,南山人壽添多利利率變動型增額終身保險(定期給付)_2BTL
41,全球人壽金采福旺利率變動型終身壽險(定額給付)
42,全球人壽豪神六六利率變動型美元終身壽險(定額給付)
43,全球人壽鑫美富足利率變動型美元增額終身壽險(定額給付)
44,全球人壽金美富貴利率變動型美元終身壽險(定額給付)
45,安達人壽超美得美元利率變動型終身壽險
46,凱基人壽美年鑽美元利率變動型終身保險(定期給付)_BPJAPL
47,南山人壽新多福保美元利率變動型終身保險(定期給付)_BUPL5G
48,凱基人壽全民小額終身壽險_EHJIPL
49,南山人壽威美鑽美元利率變動型終身壽險(定期給付)_SYUL
50,全球人壽鑫美富足利率變動型美元增額終身壽險(定額給付)
51,南山人壽威美鑽美元利率變動型終身壽險(定期給付)_SYUL
52,113 年 1月 29 日
53,南山人壽樂活洋溢醫療終身保險_TPHI5
54,南山人壽新多福保美元利率變動型終身保險(定期給付)_BUPL5G
55,南山人壽威美鑽美元利率變動型終身壽險(定期給付)_SYUL
56,全球人壽代代緻富利率變動型終身壽險(定額給付)
57,凱基人壽鑫安利得利率變動型終身壽險(定期給付)_APWHPL
58,凱基人壽招財進保利率變動型終身壽險(定期給付)_APLYPL
59,凱基人壽天天開鑫利率變動型終身保險(定期給付)_APKTPL
60,南山人壽添保倍美元利率變動型終身壽險(定期給付)_BYUPL8
61,南山人壽佳多保利率變動型終身保險(定期給付)_BTPL
62,南山人壽年年滿利利率變動型還本終身保險(定期給付)_2BTE2
63,南山人壽樂活洋溢醫療終身保險_TPHI5
64,全球人壽金美富貴利率變動型美元終身壽險(定額給付)
65,凱基人壽享利開鑫利率變動型終身保險(定期給付)_BPLTPL
66,南山人壽樂活洋溢醫療終身保險_TPHI5
67,凱基人壽天天開鑫利率變動型終身保險(定期給付)_APKTPL
68,113 年 1月 29 日
69,南山人壽享添鑽利率變動型終身保險(定期給付)_STL6
70,凱基人壽金旺來利率變動型終身壽險(定期給付)_APMTPL
